id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34,Business Suite PURPLE near Reforma,3850198,Hermann,,CuauhtÈmoc,19.43068,-99.17007,Hotel room,970,2,46,28/10/2022,0.45,11,351,10,
35,Business Suite BLUE near Reforma Av,3850198,Hermann,,CuauhtÈmoc,19.4306,-99.17074,Entire home/apt,970,2,23,11/11/2022,0.19,11,364,5,
36,Charming Apt in the best location,1326107,Jacqueline,,CuauhtÈmoc,19.41416,-99.1568,Entire home/apt,1050,5,37,19/11/2022,0.35,4,303,1,
37,PASEO DE LA REFORMA+GYM+POOL,110218260,Elizabeth,,CuauhtÈmoc,19.43339,-99.15467,Entire home/apt,1439,2,360,10/12/2022,3.3,1,343,42,
38,Extraordinarily Spacious Apt. in Condesa,899360,Julian,,CuauhtÈmoc,19.41057,-99.1773,Entire home/apt,5000,14,24,03/01/2018,0.22,6,0,0,
39,Sunny & Fresh Apt. with best rooftop in Condesa,899360,Julian,,CuauhtÈmoc,19.41057,-99.1773,Entire home/apt,2371,5,67,30/11/2022,0.5,6,3,3,
40,lovely apartment in the heart of CDMX,906106,Francisco Manuel,,CuauhtÈmoc,19.42914772,-99.15665436,Entire home/apt,1043,2,19,09/12/2022,0.17,1,238,13,
41,Business Suite BLACK near Reforma,3850198,Hermann,,CuauhtÈmoc,19.43052,-99.17003,Hotel room,970,2,21,29/11/2022,0.25,11,361,3,
42,Smack in the Middle of La Condesa,970609,Morgana & Omar,,CuauhtÈmoc,19.41554,-99.17927,Entire home/apt,1200,2,172,01/12/2022,1.25,2,301,1,
43,Cozy House with Roofterrace group 29 pax Center DF,3777702,Abraham,,CuauhtÈmoc,19.44207,-99.14797,Entire home/apt,2717,1,227,27/12/2022,1.88,6,287,32,
44,"Traditional neighborhood: Escand√≥n, Condesa & Roma",998053,MaryJo,,CuauhtÈmoc,19.4059,-99.17548,Entire home/apt,1200,3,27,13/11/2021,0.21,1,363,0,
45,Spacious and cozy apartment in trendy Condesa,184410,Veronica,,CuauhtÈmoc,19.40491,-99.17177,Entire home/apt,776,7,37,21/12/2022,0.39,1,249,19,
