id,neighbourhood,room_type,price,minimum_nights,minimum_price
622,Cuauhtémoc,Private room,900,1,900
623,Benito Juárez,Private room,350,1,350
624,Álvaro Obregón,Entire home/apt,2333,2,4666
625,Cuauhtémoc,Entire home/apt,807,3,2421
626,Cuauhtémoc,Private room,758,1,758
627,Cuauhtémoc,Entire home/apt,9704,3,29112
628,Coyoacán,Private room,210,1,210
629,Cuauhtémoc,Private room,485,1,485
630,Coyoacán,Private room,1500,2,3000
631,Cuauhtémoc,Entire home/apt,1200,3,3600
632,Cuauhtémoc,Entire home/apt,702,2,1404
633,Cuauhtémoc,Entire home/apt,3500,2,7000
634,Miguel Hidalgo,Entire home/apt,810,6,4860
635,Álvaro Obregón,Private room,428,1,428
636,Venustiano Carranza,Private room,350,2,700
637,Miguel Hidalgo,Private room,583,4,2332
638,Cuauhtémoc,Private room,2250,1,2250
639,Benito Juárez,Private room,389,1,389
640,Venustiano Carranza,Entire home/apt,2763,2,5526
641,Benito Juárez,Private room,310,3,930
642,Venustiano Carranza,Entire home/apt,1708,3,5124
643,Benito Juárez,Private room,3299,1,3299
644,Miguel Hidalgo,Private room,272,3,816
645,Cuauhtémoc,Entire home/apt,1016,3,3048
646,Cuauhtémoc,Private room,388,4,1552
647,Miguel Hidalgo,Entire home/apt,6793,5,33965
648,Coyoacán,Private room,236,2,472
649,Cuauhtémoc,Entire home/apt,1150,21,24150
650,Tlalpan,Private room,311,7,2177
651,Cuauhtémoc,Private room,610,2,1220
652,Cuauhtémoc,Private room,252,30,7560
653,Cuauhtémoc,Private room,450,2,900
654,Benito Juárez,Entire home/apt,780,2,1560
655,Miguel Hidalgo,Entire home/apt,980,1,980
656,Miguel Hidalgo,Entire home/apt,980,1,980
657,Miguel Hidalgo,Entire home/apt,1500,2,3000
658,Benito Juárez,Private room,525,3,1575
659,Cuauhtémoc,Shared room,5346,1,5346
660,Benito Juárez,Private room,428,3,1284
661,Benito Juárez,Entire home/apt,2000,3,6000
662,Benito Juárez,Entire home/apt,1361,7,9527
663,Miguel Hidalgo,Entire home/apt,799,1,799
664,Miguel Hidalgo,Entire home/apt,990,1,990
665,Coyoacán,Private room,230,3,690
666,Benito Juárez,Entire home/apt,1241,30,37230
667,Cuauhtémoc,Entire home/apt,1074,2,2148
668,Cuauhtémoc,Entire home/apt,3687,2,7374
669,Benito Juárez,Entire home/apt,1713,2,3426
670,Miguel Hidalgo,Entire home/apt,1350,1,1350
671,Coyoacán,Entire home/apt,827,4,3308
672,Cuauhtémoc,Entire home/apt,614,2,1228
673,Cuauhtémoc,Entire home/apt,1350,5,6750
674,Cuauhtémoc,Private room,500,1,500
675,Cuauhtémoc,Private room,737,2,1474
676,Cuauhtémoc,Private room,718,2,1436
677,Tlalpan,Private room,540600,1,540600
678,Cuauhtémoc,Private room,550,1,550
679,Cuauhtémoc,Entire home/apt,657,1,657
680,Miguel Hidalgo,Entire home/apt,1378,2,2756
681,Cuauhtémoc,Entire home/apt,1400,2,2800
682,Cuauhtémoc,Entire home/apt,2479,2,4958
683,Miguel Hidalgo,Private room,1688,1,1688
684,Benito Juárez,Entire home/apt,1553,1,1553
685,Miguel Hidalgo,Entire home/apt,793,3,2379
686,Coyoacán,Private room,192,1,192
687,Coyoacán,Entire home/apt,1108,2,2216
688,Cuauhtémoc,Entire home/apt,3679,3,11037
689,Gustavo A. Madero,Private room,517,1,517
690,Tlalpan,Private room,300,3,900
691,Tlalpan,Private room,300,2,600
692,Coyoacán,Private room,400,4,1600
693,Cuauhtémoc,Private room,764,1,764
694,Tlalpan,Private room,250,2,500
695,Coyoacán,Entire home/apt,428,120,51360
696,Cuauhtémoc,Entire home/apt,1359,1,1359
697,Cuauhtémoc,Private room,699,3,2097
698,Cuauhtémoc,Private room,660,4,2640
699,Miguel Hidalgo,Private room,1000,3,3000
700,Miguel Hidalgo,Entire home/apt,3400,7,23800
701,Benito Juárez,Private room,679,3,2037
702,Cuauhtémoc,Private room,700,1,700
703,Coyoacán,Entire home/apt,3595,2,7190
704,Coyoacán,Entire home/apt,2481,2,4962
705,Álvaro Obregón,Private room,490,3,1470
706,Coyoacán,Entire home/apt,2026,2,4052
707,Cuauhtémoc,Entire home/apt,629,2,1258
708,Cuauhtémoc,Entire home/apt,1294,1,1294
709,Cuauhtémoc,Entire home/apt,890,3,2670
710,Cuauhtémoc,Entire home/apt,1691,3,5073
711,Cuauhtémoc,Entire home/apt,1242,3,3726
712,Miguel Hidalgo,Entire home/apt,1450,2,2900
713,Cuauhtémoc,Private room,339,1,339
714,Cuauhtémoc,Entire home/apt,3000,1,3000
715,Coyoacán,Entire home/apt,1067,5,5335
716,Cuauhtémoc,Entire home/apt,1589,4,6356
717,Cuauhtémoc,Entire home/apt,1650,2,3300
718,Cuauhtémoc,Entire home/apt,986,15,14790
719,Tlalpan,Private room,450,3,1350
720,Benito Juárez,Entire home/apt,2000,1,2000
721,Cuauhtémoc,Entire home/apt,2000,3,6000
722,Tlalpan,Private room,599,2,1198
723,Cuauhtémoc,Entire home/apt,1200,3,3600
724,Cuauhtémoc,Entire home/apt,1261,3,3783
725,Miguel Hidalgo,Entire home/apt,3003,2,6006
726,Cuauhtémoc,Entire home/apt,1727,14,24178
727,Miguel Hidalgo,Entire home/apt,778,3,2334
728,Cuauhtémoc,Private room,9219,1,9219
729,Miguel Hidalgo,Entire home/apt,5053,2,10106
730,Cuauhtémoc,Private room,679,1,679
731,Cuauhtémoc,Shared room,247,1,247
732,Miguel Hidalgo,Entire home/apt,864,1,864
733,Coyoacán,Private room,500,3,1500
734,Miguel Hidalgo,Private room,520,4,2080
735,Cuauhtémoc,Entire home/apt,1700,365,620500
736,Álvaro Obregón,Entire home/apt,950,3,2850
737,Coyoacán,Private room,320,2,640
738,Álvaro Obregón,Entire home/apt,903,2,1806
739,Cuauhtémoc,Private room,696,2,1392
740,Cuauhtémoc,Private room,2650,1,2650
741,Cuauhtémoc,Private room,287,30,8610
742,Cuauhtémoc,Entire home/apt,873,2,1746
743,Miguel Hidalgo,Entire home/apt,1069,5,5345
744,Tlalpan,Entire home/apt,1057,3,3171
745,Cuauhtémoc,Entire home/apt,1164,21,24444
746,Benito Juárez,Private room,300,1,300
747,Coyoacán,Entire home/apt,739,3,2217
748,Álvaro Obregón,Private room,1653,2,3306
749,Cuauhtémoc,Entire home/apt,1100,3,3300
750,Benito Juárez,Entire home/apt,900,3,2700
751,Gustavo A. Madero,Private room,517,1,517
752,Venustiano Carranza,Private room,350,1,350
753,Cuauhtémoc,Private room,9999,1,9999
754,Cuauhtémoc,Private room,359,4,1436
755,Miguel Hidalgo,Entire home/apt,550,30,16500
