id,neighbourhood,room_type,price,minimum_nights,minimum_price
6424,Cuauhtémoc,Entire home/apt,674,2,1348
6425,Cuauhtémoc,Private room,461,1,461
6426,Cuauhtémoc,Entire home/apt,1860,2,3720
6427,Tlalpan,Entire home/apt,700,7,4900
6428,Benito Juárez,Private room,280,1,280
6429,Tlalpan,Private room,575,3,1725
6430,Álvaro Obregón,Private room,999,1,999
6431,Benito Juárez,Private room,550,2,1100
6432,Tlalpan,Private room,700,1,700
6433,Cuauhtémoc,Private room,368,3,1104
6434,Coyoacán,Private room,500,1,500
6435,Benito Juárez,Entire home/apt,875,1,875
6436,Álvaro Obregón,Private room,1420,3,4260
6437,Benito Juárez,Private room,700,2,1400
6438,Álvaro Obregón,Entire home/apt,1450,2,2900
6439,Benito Juárez,Entire home/apt,668,3,2004
6440,Cuauhtémoc,Entire home/apt,1256,2,2512
6441,Cuauhtémoc,Entire home/apt,1349,1,1349
6442,Cuauhtémoc,Entire home/apt,1553,1,1553
6443,Cuauhtémoc,Entire home/apt,1719,2,3438
6444,Miguel Hidalgo,Entire home/apt,993,1,993
6445,Tlalpan,Entire home/apt,433,3,1299
6446,Gustavo A. Madero,Entire home/apt,2021,4,8084
6447,Benito Juárez,Private room,600,3,1800
6448,Coyoacán,Entire home/apt,846,3,2538
6449,Cuauhtémoc,Entire home/apt,739,1,739
6450,Iztapalapa,Private room,799,3,2397
6451,Cuauhtémoc,Private room,386,2,772
6452,Miguel Hidalgo,Entire home/apt,2302,2,4604
6453,Benito Juárez,Private room,471,1,471
6454,Miguel Hidalgo,Private room,1843,2,3686
6455,Tlalpan,Entire home/apt,1139,2,2278
6456,Álvaro Obregón,Entire home/apt,400,7,2800
6457,Cuauhtémoc,Entire home/apt,779,1,779
6458,Miguel Hidalgo,Private room,299,1,299
6459,Benito Juárez,Private room,360,2,720
6460,Coyoacán,Private room,505,2,1010
6461,Cuauhtémoc,Entire home/apt,950,1,950
6462,Miguel Hidalgo,Entire home/apt,2689,1,2689
6463,Benito Juárez,Entire home/apt,1714,2,3428
6464,Benito Juárez,Entire home/apt,953,2,1906
6465,Cuauhtémoc,Entire home/apt,676,3,2028
6466,Tlalpan,Private room,241,1,241
6467,Cuauhtémoc,Entire home/apt,1250,2,2500
6468,Benito Juárez,Private room,560,4,2240
6469,Cuauhtémoc,Entire home/apt,1014,1,1014
6470,Miguel Hidalgo,Private room,950,2,1900
6471,Miguel Hidalgo,Entire home/apt,1283,4,5132
6472,Miguel Hidalgo,Entire home/apt,2414,3,7242
6473,Cuajimalpa de Morelos,Entire home/apt,1120,2,2240
6474,Álvaro Obregón,Entire home/apt,1700,2,3400
6475,Benito Juárez,Private room,443,1,443
6476,Benito Juárez,Private room,434,1,434
6477,Cuauhtémoc,Entire home/apt,2298,2,4596
6478,Benito Juárez,Entire home/apt,1226,1,1226
6479,Miguel Hidalgo,Private room,328,30,9840
6480,Cuauhtémoc,Private room,3882,2,7764
6481,Cuauhtémoc,Private room,3882,2,7764
6482,Cuauhtémoc,Private room,510,3,1530
6483,Cuauhtémoc,Private room,3882,2,7764
6484,Cuauhtémoc,Hotel room,7763,10,77630
6485,Álvaro Obregón,Private room,749,1,749
6486,Cuauhtémoc,Private room,3882,2,7764
6487,Xochimilco,Private room,240,1,240
6488,Álvaro Obregón,Private room,1944,2,3888
6489,Benito Juárez,Entire home/apt,856,2,1712
6490,Benito Juárez,Entire home/apt,3139,1,3139
6491,Cuauhtémoc,Private room,582,3,1746
6492,Tlalpan,Private room,191,1,191
6493,Tlalpan,Entire home/apt,400,1,400
6494,Venustiano Carranza,Entire home/apt,507,1,507
6495,Cuauhtémoc,Entire home/apt,1000,1,1000
6496,Cuauhtémoc,Entire home/apt,1190,4,4760
6497,Cuauhtémoc,Entire home/apt,4460,1,4460
6498,Álvaro Obregón,Private room,1730,2,3460
6499,Cuauhtémoc,Private room,833,3,2499
6500,Cuauhtémoc,Entire home/apt,1779,3,5337
6501,Cuauhtémoc,Entire home/apt,1029,1,1029
6502,Coyoacán,Private room,550,1,550
6503,Cuauhtémoc,Entire home/apt,1026,1,1026
6504,Cuauhtémoc,Entire home/apt,648,2,1296
6505,Álvaro Obregón,Private room,1633,2,3266
6506,Álvaro Obregón,Private room,1633,2,3266
6507,Álvaro Obregón,Private room,1727,2,3454
6508,Cuauhtémoc,Entire home/apt,9865,2,19730
6509,Álvaro Obregón,Private room,2255,2,4510
6510,Venustiano Carranza,Entire home/apt,800,1,800
6511,Cuauhtémoc,Entire home/apt,1747,2,3494
6512,Cuauhtémoc,Entire home/apt,1160,2,2320
6513,Cuauhtémoc,Entire home/apt,1550,2,3100
6514,Cuauhtémoc,Entire home/apt,2057,2,4114
6515,Tlalpan,Entire home/apt,440,1,440
6516,Cuauhtémoc,Private room,327,1,327
6517,Cuauhtémoc,Entire home/apt,1464,5,7320
6518,Cuauhtémoc,Private room,2050,1,2050
6519,Cuauhtémoc,Private room,1287,3,3861
6520,Cuauhtémoc,Entire home/apt,1382,2,2764
6521,Venustiano Carranza,Entire home/apt,1579,2,3158
6522,Álvaro Obregón,Entire home/apt,749,1,749
6523,Tlalpan,Private room,595,1,595
6524,Xochimilco,Entire home/apt,500,2,1000
6525,Cuajimalpa de Morelos,Entire home/apt,2484,3,7452
6526,Iztapalapa,Private room,234,1,234
6527,Coyoacán,Entire home/apt,525,1,525
6528,Benito Juárez,Entire home/apt,1739,1,1739
6529,Azcapotzalco,Entire home/apt,650,10,6500
6530,Gustavo A. Madero,Private room,194,2,388
6531,Cuauhtémoc,Entire home/apt,3246,2,6492
6532,Benito Juárez,Entire home/apt,1500,3,4500
6533,Cuauhtémoc,Private room,490,1,490
6534,Miguel Hidalgo,Entire home/apt,1900,3,5700
6535,Benito Juárez,Entire home/apt,890,14,12460
6536,Benito Juárez,Entire home/apt,1000,15,15000
6537,Tlalpan,Entire home/apt,650,1,650
6538,Iztapalapa,Entire home/apt,350,6,2100
6539,Cuauhtémoc,Entire home/apt,813,4,3252
6540,Benito Juárez,Private room,800,2,1600
6541,Cuauhtémoc,Private room,550,3,1650
6542,Benito Juárez,Private room,190,1,190
6543,Cuauhtémoc,Private room,500,1,500
6544,Benito Juárez,Private room,450,2,900
6545,Cuauhtémoc,Entire home/apt,1314,2,2628
6546,Coyoacán,Private room,480,1,480
6547,Venustiano Carranza,Entire home/apt,974,1,974
6548,Coyoacán,Private room,369,2,738
6549,Coyoacán,Private room,444,2,888
6550,Cuauhtémoc,Entire home/apt,499,1,499
6551,Coyoacán,Entire home/apt,900,7,6300
6552,Miguel Hidalgo,Entire home/apt,1107,2,2214
6553,Cuauhtémoc,Entire home/apt,829,3,2487
6554,Cuauhtémoc,Entire home/apt,1339,3,4017
6555,Álvaro Obregón,Private room,800,1,800
6556,Cuauhtémoc,Entire home/apt,683,2,1366
6557,Benito Juárez,Private room,1000,1,1000
6558,Miguel Hidalgo,Entire home/apt,1500,2,3000
6559,Tláhuac,Private room,225,3,675
6560,Benito Juárez,Entire home/apt,525,7,3675
6561,Miguel Hidalgo,Entire home/apt,4850,2,9700
6562,Cuauhtémoc,Entire home/apt,1278,2,2556
6563,Miguel Hidalgo,Entire home/apt,1500,1,1500
6564,Venustiano Carranza,Entire home/apt,945,1,945
6565,Álvaro Obregón,Entire home/apt,450,3,1350
6566,Venustiano Carranza,Entire home/apt,1059,1,1059
6567,Cuauhtémoc,Entire home/apt,999,1,999
6568,Tlalpan,Shared room,400,1,400
6569,Cuauhtémoc,Entire home/apt,1109,1,1109
6570,Miguel Hidalgo,Entire home/apt,3500,5,17500
6571,Miguel Hidalgo,Entire home/apt,821,1,821
6572,Miguel Hidalgo,Entire home/apt,854,1,854
6573,Cuauhtémoc,Entire home/apt,1075,2,2150
6574,Cuauhtémoc,Entire home/apt,1187,2,2374
6575,Benito Juárez,Shared room,605,1,605
6576,Cuauhtémoc,Entire home/apt,1879,1,1879
6577,Miguel Hidalgo,Hotel room,950,2,1900
6578,Azcapotzalco,Private room,500,1,500
6579,Azcapotzalco,Private room,350,1,350
6580,Iztacalco,Private room,389,2,778
6581,Cuauhtémoc,Private room,350,2,700
6582,Benito Juárez,Private room,400,2,800
6583,Miguel Hidalgo,Private room,800,1,800
6584,Cuauhtémoc,Entire home/apt,2079,2,4158
6585,Tlalpan,Private room,300,2,600
6586,Benito Juárez,Private room,420,1,420
6587,La Magdalena Contreras,Private room,2000,1,2000
6588,Benito Juárez,Private room,320,1,320
6589,Cuauhtémoc,Entire home/apt,4209,2,8418
6590,Tlalpan,Private room,360,4,1440
6591,Venustiano Carranza,Private room,360,1,360
6592,Benito Juárez,Private room,10000,25,250000
6593,Cuauhtémoc,Private room,230,2,460
6594,Xochimilco,Entire home/apt,990,1,990
6595,Cuauhtémoc,Entire home/apt,1100,5,5500
6596,Coyoacán,Private room,715,2,1430
6597,Álvaro Obregón,Entire home/apt,1250,1,1250
6598,Benito Juárez,Private room,499,3,1497
6599,Cuauhtémoc,Entire home/apt,2920,1,2920
6600,Álvaro Obregón,Private room,550,1,550
6601,Benito Juárez,Private room,1250,1,1250
6602,Cuauhtémoc,Private room,1000,2,2000
6603,Álvaro Obregón,Hotel room,1099,1,1099
6604,Benito Juárez,Entire home/apt,7388,3,22164
6605,Álvaro Obregón,Private room,1099,1,1099
6606,Álvaro Obregón,Private room,1099,1,1099
6607,Álvaro Obregón,Private room,1399,1,1399
6608,Benito Juárez,Entire home/apt,2450,1,2450
6609,Cuauhtémoc,Entire home/apt,897,1,897
6610,Cuauhtémoc,Entire home/apt,2113,2,4226
6611,Cuauhtémoc,Entire home/apt,784,1,784
6612,Benito Juárez,Entire home/apt,650,3,1950
6613,Cuauhtémoc,Entire home/apt,1342,2,2684
6614,Cuauhtémoc,Entire home/apt,800,7,5600
6615,Miguel Hidalgo,Entire home/apt,1456,2,2912
6616,Coyoacán,Private room,793,1,793
6617,Cuauhtémoc,Entire home/apt,800,2,1600
6618,Miguel Hidalgo,Entire home/apt,5000,2,10000
6619,Azcapotzalco,Private room,650,1,650
6620,Gustavo A. Madero,Private room,400,1,400
6621,Álvaro Obregón,Private room,280,2,560
6622,Cuauhtémoc,Entire home/apt,1600,2,3200
6623,Cuauhtémoc,Private room,270,2,540
6624,Cuauhtémoc,Entire home/apt,1663,2,3326
6625,Miguel Hidalgo,Entire home/apt,2200,3,6600
6626,Cuauhtémoc,Private room,300,2,600
6627,Miguel Hidalgo,Private room,879,2,1758
6628,Álvaro Obregón,Entire home/apt,1600,7,11200
6629,Cuauhtémoc,Private room,300,4,1200
6630,Tlalpan,Private room,550,1,550
6631,Cuauhtémoc,Private room,650,1,650
6632,Benito Juárez,Entire home/apt,999,2,1998
6633,Cuauhtémoc,Entire home/apt,1500,1,1500
6634,Coyoacán,Entire home/apt,400,2,800
6635,Gustavo A. Madero,Private room,300,1,300
6636,Miguel Hidalgo,Private room,250,3,750
6637,Gustavo A. Madero,Private room,300,1,300
6638,Gustavo A. Madero,Private room,300,1,300
6639,Gustavo A. Madero,Private room,300,1,300
6640,Cuauhtémoc,Entire home/apt,1518,1,1518
6641,Cuauhtémoc,Private room,889,2,1778
6642,Miguel Hidalgo,Entire home/apt,4096,3,12288
6643,Coyoacán,Entire home/apt,600,2,1200
6644,Coyoacán,Private room,700,3,2100
6645,Miguel Hidalgo,Entire home/apt,3549,2,7098
6646,Álvaro Obregón,Private room,499,1,499
6647,Cuauhtémoc,Entire home/apt,1647,1,1647
6648,Cuauhtémoc,Entire home/apt,2142,1,2142
6649,Cuauhtémoc,Entire home/apt,3493,1,3493
6650,Cuauhtémoc,Entire home/apt,2670,1,2670
6651,Cuauhtémoc,Private room,1264,2,2528
6652,Cuauhtémoc,Private room,750,3,2250
6653,Benito Juárez,Entire home/apt,650,2,1300
6654,Cuauhtémoc,Entire home/apt,1050,4,4200
6655,Cuauhtémoc,Entire home/apt,1533,3,4599
6656,Miguel Hidalgo,Entire home/apt,2200,3,6600
6657,Coyoacán,Entire home/apt,690,7,4830
6658,Cuauhtémoc,Entire home/apt,3188,1,3188
6659,Cuauhtémoc,Private room,533,1,533
6660,La Magdalena Contreras,Entire home/apt,327,1,327
6661,Benito Juárez,Private room,260,3,780
6662,Cuauhtémoc,Entire home/apt,2182,1,2182
6663,Cuauhtémoc,Private room,985,3,2955
6664,Venustiano Carranza,Entire home/apt,941,1,941
6665,Cuauhtémoc,Private room,202,1,202
6666,Iztacalco,Shared room,300,1,300
6667,Cuauhtémoc,Private room,359,1,359
6668,Cuauhtémoc,Entire home/apt,2443,1,2443
6669,Miguel Hidalgo,Private room,470,1,470
6670,Cuauhtémoc,Entire home/apt,848,2,1696
6671,Cuauhtémoc,Private room,327,1,327
6672,Gustavo A. Madero,Entire home/apt,1200,2,2400
6673,Cuauhtémoc,Private room,349,1,349
6674,Coyoacán,Hotel room,350,2,700
6675,Cuauhtémoc,Entire home/apt,2386,1,2386
6676,Miguel Hidalgo,Entire home/apt,2000,15,30000
6677,Cuauhtémoc,Hotel room,3555,1,3555
6678,Benito Juárez,Entire home/apt,972,30,29160
6679,Iztacalco,Entire home/apt,606,2,1212
6680,Miguel Hidalgo,Entire home/apt,1243,1,1243
6681,Cuauhtémoc,Private room,400,1,400
6682,Coyoacán,Entire home/apt,2010,2,4020
6683,Cuauhtémoc,Private room,600,1,600
6684,Cuauhtémoc,Entire home/apt,950,1,950
6685,Cuauhtémoc,Entire home/apt,2000,2,4000
6686,Coyoacán,Entire home/apt,1014,2,2028
6687,Benito Juárez,Private room,350,3,1050
6688,Benito Juárez,Private room,900,1,900
6689,Benito Juárez,Private room,190,6,1140
6690,Cuauhtémoc,Entire home/apt,3140,2,6280
6691,Álvaro Obregón,Private room,360,1,360
6692,Cuauhtémoc,Entire home/apt,744,2,1488
6693,Cuauhtémoc,Entire home/apt,2135,3,6405
6694,Benito Juárez,Private room,400,1,400
6695,Benito Juárez,Private room,250,1,250
6696,Cuauhtémoc,Entire home/apt,1747,3,5241
6697,Miguel Hidalgo,Entire home/apt,450,600,270000
6698,Venustiano Carranza,Entire home/apt,510,1,510
6699,Miguel Hidalgo,Entire home/apt,679,3,2037
6700,Cuauhtémoc,Entire home/apt,1993,2,3986
6701,Gustavo A. Madero,Entire home/apt,500,2,1000
6702,Tlalpan,Private room,2720,1,2720
6703,Cuauhtémoc,Entire home/apt,2537,2,5074
6704,Coyoacán,Entire home/apt,1771,2,3542
6705,Cuauhtémoc,Entire home/apt,1760,3,5280
6706,Benito Juárez,Entire home/apt,296,3,888
6707,Cuauhtémoc,Entire home/apt,1050,2,2100
6708,Tlalpan,Entire home/apt,1319,2,2638
6709,Benito Juárez,Private room,850,6,5100
6710,La Magdalena Contreras,Private room,1200,30,36000
6711,Cuauhtémoc,Hotel room,1900,1,1900
6712,Miguel Hidalgo,Private room,590,5,2950
6713,Tlalpan,Entire home/apt,3111,2,6222
6714,Miguel Hidalgo,Entire home/apt,2679,1,2679
6715,Álvaro Obregón,Entire home/apt,1000,4,4000
6716,Cuauhtémoc,Entire home/apt,2113,2,4226
6717,Cuauhtémoc,Hotel room,2536,1,2536
6718,Cuauhtémoc,Entire home/apt,1123,1,1123
6719,Benito Juárez,Entire home/apt,881,1,881
6720,Iztacalco,Private room,850,1,850
6721,Cuajimalpa de Morelos,Private room,450,1,450
6722,Benito Juárez,Entire home/apt,816,1,816
6723,Cuauhtémoc,Entire home/apt,699,1,699
6724,Cuajimalpa de Morelos,Entire home/apt,3500,3,10500
6725,Tlalpan,Private room,600,8,4800
6726,Benito Juárez,Entire home/apt,10740,2,21480
6727,Cuauhtémoc,Entire home/apt,999,1,999
6728,Miguel Hidalgo,Entire home/apt,4270,7,29890
6729,Cuajimalpa de Morelos,Private room,2916,4,11664
6730,Benito Juárez,Private room,221,2,442
6731,Benito Juárez,Private room,550,2,1100
6732,Cuauhtémoc,Entire home/apt,850,2,1700
6733,Benito Juárez,Entire home/apt,679,3,2037
6734,Cuauhtémoc,Entire home/apt,870,2,1740
6735,Cuajimalpa de Morelos,Entire home/apt,1321,2,2642
6736,Cuauhtémoc,Entire home/apt,1009,2,2018
6737,Coyoacán,Private room,221,3,663
6738,Miguel Hidalgo,Entire home/apt,449,2,898
6739,Miguel Hidalgo,Entire home/apt,2500,5,12500
6740,Coyoacán,Entire home/apt,622,2,1244
6741,Coyoacán,Entire home/apt,1200,2,2400
6742,Álvaro Obregón,Private room,300,1,300
6743,Cuauhtémoc,Shared room,502,1,502
6744,Cuauhtémoc,Entire home/apt,1889,1,1889
6745,Tlalpan,Entire home/apt,450,6,2700
6746,Xochimilco,Entire home/apt,9000,1,9000
6747,Tlalpan,Entire home/apt,850,2,1700
6748,Miguel Hidalgo,Private room,1372,1,1372
6749,Cuauhtémoc,Entire home/apt,1009,2,2018
6750,Benito Juárez,Private room,900,1,900
6751,Coyoacán,Entire home/apt,1700,1,1700
6752,Álvaro Obregón,Private room,1400,1,1400
6753,Cuajimalpa de Morelos,Private room,450,1,450
6754,Miguel Hidalgo,Private room,385,2,770
6755,Venustiano Carranza,Entire home/apt,941,1,941
6756,Cuauhtémoc,Hotel room,2496,1,2496
6757,La Magdalena Contreras,Entire home/apt,690,3,2070
6758,Cuauhtémoc,Hotel room,3120,1,3120
6759,Miguel Hidalgo,Entire home/apt,1514,3,4542
6760,Álvaro Obregón,Private room,450,30,13500
6761,Miguel Hidalgo,Private room,1223,1,1223
6762,Coyoacán,Entire home/apt,700,3,2100
6763,Cuauhtémoc,Hotel room,2652,1,2652
6764,Venustiano Carranza,Entire home/apt,500,2,1000
6765,Cuauhtémoc,Hotel room,2652,1,2652
6766,Cuauhtémoc,Hotel room,2652,1,2652
6767,Benito Juárez,Private room,1264,1,1264
6768,Coyoacán,Entire home/apt,1000,2,2000
6769,Benito Juárez,Private room,379,1,379
6770,Cuauhtémoc,Entire home/apt,631,2,1262
6771,Miguel Hidalgo,Entire home/apt,3455,1,3455
6772,Cuauhtémoc,Private room,500,2,1000
6773,Benito Juárez,Entire home/apt,494,2,988
6774,Miguel Hidalgo,Entire home/apt,1010,1,1010
6775,Cuauhtémoc,Private room,300,1,300
6776,Iztapalapa,Private room,350,1,350
6777,Cuauhtémoc,Entire home/apt,550,2,1100
6778,Cuauhtémoc,Entire home/apt,1366,2,2732
6779,Azcapotzalco,Private room,250,1,250
6780,Benito Juárez,Private room,846,1,846
6781,Benito Juárez,Entire home/apt,998,1,998
6782,Álvaro Obregón,Private room,244,30,7320
6783,Álvaro Obregón,Entire home/apt,380,1,380
6784,Cuauhtémoc,Entire home/apt,954,3,2862
6785,Tlalpan,Entire home/apt,299,1,299
6786,Tlalpan,Private room,330,1,330
6787,Cuauhtémoc,Private room,270,1,270
6788,Gustavo A. Madero,Entire home/apt,980,4,3920
6789,Miguel Hidalgo,Entire home/apt,679,5,3395
6790,Miguel Hidalgo,Private room,384,2,768
6791,Cuauhtémoc,Entire home/apt,1327,4,5308
6792,Cuauhtémoc,Entire home/apt,2214,2,4428
6793,Cuauhtémoc,Hotel room,332,1,332
6794,Álvaro Obregón,Private room,380,3,1140
6795,Coyoacán,Entire home/apt,1500,1,1500
6796,Cuauhtémoc,Private room,932,2,1864
6797,Coyoacán,Entire home/apt,1760,4,7040
6798,Iztacalco,Entire home/apt,754,2,1508
6799,Álvaro Obregón,Private room,350,3,1050
6800,Benito Juárez,Entire home/apt,948,2,1896
6801,Miguel Hidalgo,Private room,600,1,600
6802,Benito Juárez,Hotel room,945,1,945
6803,Cuauhtémoc,Entire home/apt,2467,1,2467
6804,Cuauhtémoc,Entire home/apt,800,1,800
6805,Cuauhtémoc,Hotel room,328,1,328
6806,Cuauhtémoc,Entire home/apt,400,7,2800
6807,Xochimilco,Private room,202,2,404
6808,Tláhuac,Private room,300,2,600
6809,Miguel Hidalgo,Entire home/apt,1500,20,30000
6810,Cuauhtémoc,Entire home/apt,567,1,567
6811,Benito Juárez,Entire home/apt,2514,3,7542
6812,Cuauhtémoc,Private room,250,1,250
6813,Cuauhtémoc,Entire home/apt,700,3,2100
6814,Benito Juárez,Entire home/apt,900,183,164700
6815,Álvaro Obregón,Entire home/apt,541,1,541
6816,Benito Juárez,Entire home/apt,800,1,800
6817,Miguel Hidalgo,Entire home/apt,833,1,833
6818,Coyoacán,Entire home/apt,800,1,800
6819,Cuauhtémoc,Private room,1200,2,2400
6820,Cuauhtémoc,Entire home/apt,650,15,9750
6821,Coyoacán,Entire home/apt,851,2,1702
6822,Azcapotzalco,Entire home/apt,800,2,1600
6823,Cuauhtémoc,Entire home/apt,1099,2,2198
6824,Miguel Hidalgo,Entire home/apt,1245,2,2490
6825,Cuauhtémoc,Entire home/apt,1347,1,1347
6826,Cuauhtémoc,Private room,459,2,918
6827,Miguel Hidalgo,Entire home/apt,10000,5,50000
6828,Cuauhtémoc,Entire home/apt,1588,1,1588
6829,Benito Juárez,Private room,669,1,669
6830,Cuauhtémoc,Entire home/apt,450,2,900
6831,Cuauhtémoc,Hotel room,4721,1,4721
6832,Cuauhtémoc,Hotel room,4721,1,4721
6833,Cuauhtémoc,Hotel room,5567,1,5567
6834,Cuauhtémoc,Hotel room,4721,1,4721
6835,Cuauhtémoc,Hotel room,3255,1,3255
6836,Cuauhtémoc,Private room,1200,2,2400
6837,Iztapalapa,Private room,190,1,190
6838,Cuauhtémoc,Entire home/apt,1393,1,1393
6839,Coyoacán,Hotel room,2400,1,2400
6840,Coyoacán,Hotel room,2171,1,2171
6841,Cuauhtémoc,Entire home/apt,1563,1,1563
6842,Iztacalco,Private room,230,5,1150
6843,Azcapotzalco,Entire home/apt,1017,2,2034
6844,Coyoacán,Hotel room,2200,1,2200
6845,Coyoacán,Hotel room,2200,1,2200
6846,Cuauhtémoc,Entire home/apt,550,2,1100
6847,Cuauhtémoc,Entire home/apt,1935,1,1935
6848,Cuauhtémoc,Entire home/apt,1528,1,1528
6849,Coyoacán,Hotel room,2200,1,2200
6850,Coyoacán,Hotel room,2347,1,2347
6851,Benito Juárez,Entire home/apt,899,2,1798
6852,Benito Juárez,Entire home/apt,1000,4,4000
6853,Coyoacán,Private room,750,1,750
6854,Venustiano Carranza,Entire home/apt,337,2,674
6855,Cuauhtémoc,Entire home/apt,1563,1,1563
6856,Cuauhtémoc,Entire home/apt,1546,1,1546
6857,Tlalpan,Entire home/apt,1186,1,1186
6858,Benito Juárez,Entire home/apt,500,3,1500
6859,Benito Juárez,Entire home/apt,827,2,1654
6860,Venustiano Carranza,Entire home/apt,801,1,801
6861,Cuauhtémoc,Entire home/apt,1380,180,248400
6862,Cuauhtémoc,Entire home/apt,460,7,3220
6863,Tlalpan,Private room,583,1,583
6864,Cuauhtémoc,Entire home/apt,815,2,1630
6865,Benito Juárez,Entire home/apt,964,1,964
6866,Coyoacán,Private room,350,3,1050
6867,Cuauhtémoc,Entire home/apt,1800,1,1800
6868,Benito Juárez,Hotel room,990,1,990
6869,Cuauhtémoc,Entire home/apt,3105,1,3105
6870,Cuauhtémoc,Entire home/apt,3300,3,9900
6871,Tláhuac,Entire home/apt,260,1,260
6872,Miguel Hidalgo,Entire home/apt,1223,2,2446
6873,Miguel Hidalgo,Entire home/apt,907,2,1814
6874,Benito Juárez,Private room,349,3,1047
6875,Cuauhtémoc,Entire home/apt,2340,2,4680
6876,Cuauhtémoc,Entire home/apt,1500,5,7500
6877,Cuauhtémoc,Entire home/apt,1600,2,3200
6878,Coyoacán,Entire home/apt,2500,3,7500
6879,Coyoacán,Entire home/apt,972,3,2916
6880,Benito Juárez,Entire home/apt,1035,1,1035
6881,Benito Juárez,Entire home/apt,1264,3,3792
6882,Venustiano Carranza,Private room,549,1,549
6883,Xochimilco,Private room,399,2,798
6884,Tlalpan,Private room,300,7,2100
6885,Benito Juárez,Entire home/apt,2200,3,6600
6886,Miguel Hidalgo,Entire home/apt,907,2,1814
6887,Benito Juárez,Hotel room,881,1,881
6888,Cuauhtémoc,Entire home/apt,1442,1,1442
6889,Azcapotzalco,Private room,192,28,5376
6890,Gustavo A. Madero,Entire home/apt,1800,1,1800
6891,Cuauhtémoc,Private room,481,1,481
6892,Cuauhtémoc,Entire home/apt,857,1,857
6893,Tlalpan,Private room,679,1,679
6894,Benito Juárez,Entire home/apt,1287,1,1287
6895,Coyoacán,Entire home/apt,525,5,2625
6896,Tlalpan,Private room,320,3,960
6897,Cuauhtémoc,Entire home/apt,554,5,2770
6898,Tlalpan,Private room,320,3,960
6899,Tlalpan,Private room,250,3,750
6900,Tlalpan,Private room,250,3,750
6901,Tlalpan,Private room,250,4,1000
6902,Cuauhtémoc,Entire home/apt,720,3,2160
6903,Cuauhtémoc,Shared room,530,1,530
6904,Cuauhtémoc,Private room,350,2,700
6905,Benito Juárez,Private room,601,1,601
6906,Benito Juárez,Entire home/apt,1729,2,3458
6907,Cuauhtémoc,Entire home/apt,707,1,707
6908,Cuauhtémoc,Shared room,481,1,481
6909,Benito Juárez,Entire home/apt,1150,1,1150
6910,Cuauhtémoc,Private room,1070,1,1070
6911,Cuauhtémoc,Private room,1404,1,1404
6912,Coyoacán,Private room,445,2,890
6913,Miguel Hidalgo,Entire home/apt,5600,1,5600
6914,Cuauhtémoc,Private room,2286,3,6858
6915,Cuajimalpa de Morelos,Private room,700,3,2100
6916,Tlalpan,Private room,400,1,400
6917,Coyoacán,Private room,450,1,450
6918,Xochimilco,Private room,196,3,588
6919,Cuauhtémoc,Entire home/apt,1826,1,1826
6920,Benito Juárez,Entire home/apt,993,2,1986
6921,Cuauhtémoc,Entire home/apt,5822,1,5822
6922,Venustiano Carranza,Private room,326,2,652
6923,Cuauhtémoc,Entire home/apt,1378,1,1378
6924,Cuauhtémoc,Entire home/apt,3687,1,3687
6925,Cuauhtémoc,Entire home/apt,1547,1,1547
6926,Álvaro Obregón,Entire home/apt,1250,180,225000
6927,Coyoacán,Entire home/apt,1525,2,3050
6928,Azcapotzalco,Private room,300,3,900
6929,Xochimilco,Private room,200,1,200
6930,Miguel Hidalgo,Entire home/apt,1400,20,28000
6931,Miguel Hidalgo,Entire home/apt,1539,5,7695
6932,Cuajimalpa de Morelos,Private room,600,1,600
6933,Cuajimalpa de Morelos,Private room,500,1,500
6934,Coyoacán,Private room,1000,7,7000
6935,Cuauhtémoc,Private room,658,1,658
6936,Xochimilco,Private room,233,1,233
6937,Cuauhtémoc,Entire home/apt,2800,1,2800
6938,Cuauhtémoc,Entire home/apt,2000,1,2000
6939,Cuauhtémoc,Entire home/apt,600,15,9000
6940,Cuauhtémoc,Hotel room,461,1,461
6941,Miguel Hidalgo,Entire home/apt,1071,1,1071
6942,Iztapalapa,Private room,390,1,390
6943,Álvaro Obregón,Private room,590,2,1180
6944,Miguel Hidalgo,Private room,690,1,690
6945,Cuauhtémoc,Entire home/apt,650,5,3250
6946,Cuauhtémoc,Private room,960,2,1920
6947,Tlalpan,Entire home/apt,1800,7,12600
6948,Benito Juárez,Entire home/apt,2486,3,7458
6949,Benito Juárez,Private room,528,3,1584
6950,Benito Juárez,Private room,420,7,2940
6951,Benito Juárez,Entire home/apt,1200,30,36000
6952,Cuauhtémoc,Entire home/apt,1650,2,3300
6953,Miguel Hidalgo,Private room,750,1,750
6954,Cuauhtémoc,Entire home/apt,1222,3,3666
6955,Tlalpan,Private room,215,30,6450
6956,Álvaro Obregón,Entire home/apt,900,1,900
6957,Cuauhtémoc,Entire home/apt,4810,3,14430
6958,Cuauhtémoc,Entire home/apt,3400,4,13600
6959,Miguel Hidalgo,Entire home/apt,1200,3,3600
6960,Cuauhtémoc,Hotel room,900,1,900
6961,Cuauhtémoc,Private room,383,2,766
6962,Tláhuac,Entire home/apt,240,1,240
6963,Benito Juárez,Entire home/apt,1050,1,1050
6964,Cuauhtémoc,Entire home/apt,3776,1,3776
6965,Miguel Hidalgo,Private room,500,1,500
